宪明 - 来不及说对不起|魏俫原创合集
桐桐的机器人妈妈 - 父母分歧时可以头脑风暴法解决问题|父母必读
罗思容 - 跈等阿姆跳舞|总经销片馆-世界音乐系列-每日
那我懂你意思了 - 我打工的咖啡厅|騷動
张布衣&文柒兩 - 雁不留|我本布衣
冬阳桑梓 - 小儿健康知识140葡萄糖酸锌的补充|小儿健康知识分享儿推学习~育儿
胡伟立 - 叵测|李卫当官原声带
胡伟立 - 費思量|李卫当官原声带
墨笔前尘 - 宣州谢朓楼饯别校书叔云|李白的诗
广东畅读 - 第027集 松岛别墅|极品护花保镖
玩年儿 - 乐说十万个为什么5为什么只用一边牙嚼食物不好|儿童十万个为什么
欢乐童趣园 - 38.凿壁偷光|全能小神童 幼儿益智启蒙
胡勇军 - 好崽俚在修水|好崽俚在修水
赵芃 - 世上只有妈妈好|经典中英文儿歌最流行益智歌曲
贝比琼斯 - 鞠躬尽瘁死而后已|吴姐姐讲历史
周不急先生 - 030-孙膑庞涓斗智|老周讲 中华上下五千年
贝比琼斯 - 曹丕曹植兄弟争宠|吴姐姐讲历史
周不急先生 - 029-商鞅徙木立信|老周讲 中华上下五千年
周不急先生 - 015-曹刿论战|老周讲 中华上下五千年
呼呼收音机 - 15 为什么牛老是在嚼东西|奶泡泡 十万个为什么
清晨多聆听 - 细颚龙|恐龙王国大百科
苏平生 - 马樱花开迎客来 (伴奏)|马缨花开迎客来 杨梦想
苏平生 - 马缨花开迎客来 (杨梦想)|马缨花开迎客来 杨梦想
尨枤 - 一万次悲伤|荡
泺荫 - 这一生关于你的风景|这一生关于你的风景
贝比琼斯 - 外戚宦官小皇帝|吴姐姐讲历史
小熊听听 - 儿科医生教你轻松搞定婴幼儿湿疹儿科医生教你轻松搞定婴幼儿湿疹|全球育儿知识精选
熊云韵 - 欵乃|古琴类-渔樵问答
周不急先生 - 133-范缜的神灭论|老周讲 中华上下五千年
周不急先生 - 140-隋炀帝开凿大运河|老周讲 中华上下五千年
宝贝儿加油站 - 91  为什么夏天会长痱子|经典十万个为什么
伱的眸 - 乌鸦喝水|乌鸦喝水
周不急先生 - 120-祖逖中流击楫|老周讲 中华上下五千年
伱的眸 - 乌鸦喝水|乌鸦喝水
伱的眸 - 乌鸦喝水|乌鸦喝水
肖冰 - 反腐倡廉这句话 (伴奏)|反腐倡廉这句话
肖冰 - 反腐倡廉这句话|反腐倡廉这句话
伱的眸 - 乌鸦喝水|乌鸦喝水
周不急先生 - 125-一意孤行的苻坚|老周讲 中华上下五千年
綺風 - 你一定要幸福|綺風
伱的眸 - 乌鸦喝水|乌鸦喝水
周不急先生 - 126-淝水之战|老周讲 中华上下五千年
周不急先生 - 158-颜杲卿痛骂安禄山|老周讲 中华上下五千年
奈柰赖濑 - 四季折之羽粤语填词|四季折之羽粤语填词丨粤语残片版的仙鹤报恩
华德福小橡树幼儿家园 - 中焦淤滯与中焦不足|一起来读书
华德福小橡树幼儿家园 - 中焦淤滯与精神压力|一起来读书
周不急先生 - 104-挥泪斩马谡|老周讲 中华上下五千年
韩学康 - 我家我梦我鄄城 (伴奏)|青蝶篇
李茳 - 灰太狼|李茳作品集
刘耘华 - 弦筈|春芽
贫僧戒肉 - 第5集 淬体疗伤|仙府之缘
白云出岫 - 寄扬州韩绰判官 [唐] 杜牧|小学生必背古诗词
白云出岫 - 菊花[元稹]|小学生必背古诗词
茯苓 - 繁华唱遍|繁华唱遍
農里 - 快|梦穿越
贰婶 - 殷红之壑|紫垣阁集
農里 - 我是有多久没有见到你|梦穿越
農里 - 写一首歌吧|梦穿越
玉树临风小博 - 第0集 楔子|中国铁匠在异界
阿莼的声音 - 3.我的世界如何建造1-2|我的世界 -小虎的世界
苏阳阳博士 - 正念冥想:不再酗酒|正念冥想+暖声助眠  疗愈身心
油焖大侠 - 第430集 那你就去做牛做马吧|时光和你都很美
油焖大侠 - 第431集 你动了我的人|时光和你都很美
高山永别 - 第3集 火纪宫燧皇|人道至尊
你说从前有座山 - 第1集 楔子|大妆
双螺旋童书馆 - 长相思-林逋 -字幕版|经典宋词-字幕版
园丁工程猪 - 这个蛋糕是蓝莓还是癫痫|愤怒的小鸟穿越第五人格2
莫问 - 第2集 妯娌之争|闺范
莫问 - 第4集 芙蓉蛋羹|闺范
阿莼的声音 - 1.我的世界如何生存1-2|我的世界 -小虎的世界
邓健泓 - 戆男|咪当我傻 (新曲+精选)
邓健泓 - 怕咗你|咪当我傻 (新曲+精选)
程昊 - 年龄歧视的丑陋真相就是歧视未来的自己|巨人与尘埃
白云出岫 - 三衢道中 [宋]曾幾|小学生必背古诗词
程昊 - 年龄歧视的丑陋真相就是歧视未来的自己|巨人与尘埃
白云出岫 - 寒食 [唐] 韩翃 第一版|小学生必背古诗词
阿莼的声音 - 我的世界红石大炮|我的世界 -小虎的世界
王俊翕 - 动漫宣传片主题曲|配乐杂集
玩年儿 - 乐说十万个为什么25为什么有人冬天会长冻疮|儿童十万个为什么
303之声 - 书法撇和捺|书法
科普十万个为什么 - 鸟类小百科之大鸨|蚂蚁求知  神奇动物小百科
双螺旋童书馆 - 蹇卦|易经-字幕版
紫盂 - 我的世界怪物学院 (十)|我的世界怪物学院
裂天 - 罹咎|罹咎
成公亮 - 凤翔千仞 (明)|秋籁居琴音
儿康社 - 不断跺脚-是在表达自己的不满|儿童行为心理
紫盂 - 我的世界怪物学院|我的世界怪物学院
姝艾 - 第01集_楔子+宫家是真正的贵族,矜贵得很|往北的地方海未眠
秋千乐队 - 带我走 (伴奏)|来鹤觀
双螺旋童书馆 - 夬卦|易经-字幕版
可昕美恩 - 恐龙的孵化|恐龙知识百科儿童版完整版
谷绪召 - 啰唝曲|青玉案
安随君 - 第2集 蓼汀花溆|红楼折钗记
冬阳桑梓 - 1.脾胃派小儿推拿 简介|脾胃派小儿推拿 诵读版
冬阳桑梓 - 3.小儿生理特点|脾胃派小儿推拿 诵读版
冬阳桑梓 - 2.脾胃派小儿推拿相关知识|脾胃派小儿推拿 诵读版
思小染 - 第0集 楔子|传说的后来
思予黛 - 第0集 楔子|伪宋杀手日志
玩年儿 - 乐说十万个为什么32为什么不要随地吐痰|儿童十万个为什么
931爱家新主播 - 1219辣妈日记-小儿咳嗽|辣妈日记
冬阳桑梓 - 60.小儿推拿八大流派全解~脾胃派小儿推拿|脾胃派小儿推拿 诵读版
冬阳桑梓 - 59.小儿推拿八大流派全解~捏脊派小儿推拿|脾胃派小儿推拿 诵读版
冬阳桑梓 - 58.小儿推拿八大流派全解~湘西刘开运派小儿推拿|脾胃派小儿推拿 诵读版
931爱家新主播 - 1022辣妈日记-孩子的秩序敏感期|辣妈日记
冬阳桑梓 - 48.临床经验篇~慢性扁桃体炎四大手法|脾胃派小儿推拿 诵读版
冬阳桑梓 - 50.临床经验篇~止咳四大手法|脾胃派小儿推拿 诵读版
931爱家新主播 - 0618免费儿童涂氟与窝沟封闭|辣妈日记
刘小庆 - 爱啊爱哟伴奏 (伴奏)|爱的馈赠
刘小庆 - 爱啊爱哟|爱的馈赠
晏鸩 - 山有妖 和声伴奏|山有妖
晏鸩 - 我曾经毫无指望的爱过你|我曾毫无指望的爱过你
李佳思 - 飞光竞岁 (伴奏)|飞光竞岁   记 古剑奇谭三 岑缨
箜 - 沙坪坝五组团|拓摹集
马大镛 - 快乐的旅行|心之歌
黹水 - 天上白玉京|天上白玉京
潓雪美乔 - 田螺姑娘|暖暖的
仔保 - 让你心满意足|想爱勐梭姑娘
油焖大侠 - 第466集 这个世界可真够巧的|时光和你都很美
郑璐 - 鄱阳湖之歌|红土情
蒋大为 - 鄱湖春天的眼睛|名家民歌金曲
宋宇渟 - 你一定要幸福|你一定要幸福
油焖大侠 - 第469集 我孙媳妇怀孕了|时光和你都很美
油焖大侠 - 第467集 史上最大的情敌|时光和你都很美
马大镛 - 阳光|心之歌
蓝永潇 - 畲竹情 (伴奏)|醉美畲乡
蓝永潇 - 醉美周山|醉美畲乡
蓝永潇 - 畲竹情|醉美畲乡
蓝永潇 - 醉美周山 (伴奏)|醉美畲乡
妧歌 - 女神与白衬衫 (伴奏)|妧媚如歌
若汮 - 生命的空隙|默声电台
萚 - 再次消失|一些遗失的梦
杨晢 - 子夜徘徊|至尊金曲系列10专辑
杨晢 - 我依然恋你如昔|至尊金曲系列10专辑
杨晢 - 黄昏|至尊金曲系列10专辑
杨晢 - 风凄凄意绵绵|至尊金曲系列10专辑
杨晢 - 我想忘了你|至尊金曲系列10专辑
杨晢 - 往日的旧梦|至尊金曲系列10专辑
杨晢 - 山南山北走一回|至尊金曲系列10专辑
杨晢 - 抉择|至尊金曲系列10专辑
洪小乔 - 枞树|至尊金曲系列10专辑
张苡澂 - 数悔|数悔
苳梓鑫 - 爱我就别离开我|爱我就别离开我
淏雷 - 我杀死了一个哑巴|飞魔雷
夜行鳥 - 火炎|火炎   女王蜂
高音敏子 - 家乡在洎阳|家乡在洎阳
颜鹍 - 万人迷 (伴奏)|万人迷
颜鹍 - 万人迷|万人迷
上海青年合唱团 - 渔阳鼙鼓动地来|中国近现代音乐史代表歌曲
杨提尔森 - 艾蜜莉的华尔玆|心境界-完全精选
仔保 - 思念勐梭姑娘|想爱勐梭姑娘
仔保 - 想爱勐梭姑娘|想爱勐梭姑娘
仔保 - 好朋友|想爱勐梭姑娘
仔保 - 想做你男朋友|想爱勐梭姑娘
横颜君 - 夔龙玉|夔龙玉
笙寒 - 梦蹙|翻唱
更培活佛 - 四昄依|吉祥梵音
甜鲵小饭 - 漫步在岁月洪流|漫步在岁月洪流
浩珄 - 為愛癡狂|默认专辑
陆绍珣 - 唱支畲歌给党听|唱支畲歌给党听
周遵洪 - 妄求|岁月
三智才让 - 白猞狸主题曲|白猞狸主题曲
齊87 - 春风吹|7
齊87 - 这一生关于你的风景|7
谙凐 - 从前慢|从前慢
泺柒 - 忽然之间|忽然之间
孙勇音乐 冯树坤 - 汤阴有座羑里城|默认专辑
錢小多 - 天空之城四手联弹 (钢琴版)|天空之城四手联弹(钢琴版)
刘风歧 - 思特里克兰德侧身像 伴奏|思特里克兰德侧身像
马友友 - 惊螫|东邪西毒终极版 电影原声带
北京菩提心月佛教音乐团 - 迓古令|北韵佛曲
吴昌帛 - 喜糖 伴奏|喜糖
刘风歧 - 星期六的深夜|心歌
乔竹禾 - 無所謂|無所謂
颜运龙 - 慯|默认专辑
老邴 - 跟着我一起来|默认专辑
一蓑烟雨听无尘 - 第 1 集 七君子|无尘之武林七宗罪
蒋卓林 - 踟蹰|踟蹰
窝窝窝市桃沢和美 - 初戀殘相|窝窝窝市桃沢和美
工藤静香 - 慟哭|单曲集二-恸哭(1993-1995)
顾家隽 - 静夜思|黒馬颅
栢樂. - 卑微小调|卑微小调
国产荨麻疹 - 发现|2020的垃圾桶
欧枔鑫 - 一往情深的恋人|一往情深的恋人
茆荣怀 - 师说|山情
弎石 - 压声锦集|送客
林坤信 - 鬼影幢幢|新仙剑奇侠传 游戏音乐原声带
赵保国 - 涑水先生|国歌声声
柚卟 - 千本樱|千本桜
李畇姗 - 1_听我说谢谢你|童心童声 姗
胡伟立 - 廠標|胡伟立影视音乐原声音乐系列 告別紫禁城
胡伟立 - 勞動|胡伟立影视音乐原声音乐系列 告別紫禁城
胡伟立 - 敘事|胡伟立影视音乐原声音乐系列 告別紫禁城
胡伟立 - 殺戮|胡伟立影视音乐原声音乐系列 告別紫禁城
胡伟立 - 監獄|胡伟立影视音乐原声音乐系列 告別紫禁城
胡伟立 - 毒殺|胡伟立影视音乐原声音乐系列 告別紫禁城
胡伟立 - 欣悅|胡伟立影视音乐原声音乐系列 告別紫禁城
李炤君 - 三水姑娘|三水姑娘
于郑伟 - 醉鄞江 (纯享版)|醉鄞江
于郑伟 - 醉鄞江 (童真版)|醉鄞江
于郑伟 - 爱上上班路|醉鄞江
青荇 - 是风动|是风动
十九號是個獅子座 - 晚安|夜晚请好好睡
刘熳熳 - 那个夏天|718
刘熳熳 - 最终一个人扛下所有|718
黹水 - 去追一只鹿|去追一只鹿
麦子王耑 - 小飞船|小飞船
黄顺 - 濮院|空蓝
小花 - 第224集 想撕婊|网游之黑心奸商
刘迂江 - 长安女孩|长安女孩
几个陈澔橪 - 孤身|孤身
何梦苓等 - 跺跺脚|广西壮族自治区 歌声唱响60年
棂怿_01 - 形容|形容
白沢鳩 - 横竖撇点折|横竖点撇折
白沢鳩 - 横竖撇点折.1|横竖点撇折
朗坤 - 七月椴花香|七月椴花香
王畇琪 - 走散|走散
漆柚 - 反氯苯|一首录制时间差点就变成大前年的究极洗脑日文歌
阴阳座 - 甲賀忍法帖 (実況録音版)|桜花忍法帖
挽珒 - 处暑|处暑
任炟名 - 唐人街|唐人街
河流淙淙 - 虎口脱险|飞花望苍穹
只給你聽 - 再见|只给你听电台
只給你聽 - 我问自己|只给你听电台
张嫮目 - 如不|如不
只給你聽 - 最远的距离|只给你听电台
张然聍 - 衬衫反穿 (伴奏)|衬衫反穿
张然聍 - 衬衫反穿|衬衫反穿
三立 - 邳州韵 (精编版 伴奏)|邳州韵
三立 - 邳州韵 (精编版)|邳州韵
李沁枬 - 梦游|梦游
吴亚运 - 七庖汤|七庖汤
踵南先生 - 不待|不待
陈芃伯 - 玫瑰|笼中人
陈芃伯 - 风|笼中人
陈芃伯 - 极乐|笼中人
陈芃伯 - 我|笼中人
坡上村 - 蛤蚧|默认专辑
妮妮荩苒 - 青鸟之守望|想念夏天
妮妮荩苒 - 想念夏天|想念夏天
逄晓龙 - 后知后觉|后知后觉
颀小哥 - 云山入梦舟|云山入梦舟
思予黛 - 第228集 戍边之战|伪宋杀手日志
小花 - 第184集 小婊砸|网游之黑心奸商
王冠乔 - 为了梦想 (磅礡交响版)|为了梦想
十三狼 - 拴红线|默认专辑
十三狼 - 拴红线 (伴奏)|默认专辑
油焖大侠 - 第427集 我是时瑶呀|时光和你都很美
玢晶 - 勇气|勇气
歆暚 - 四不像|歆暚翻唱集
丁发禄 - 写给临洮的一首歌|写给临洮的一首歌
伦桑 - 美人裾|默认专辑
思予黛 - 第277集 朱翩跹盛长缨|伪宋杀手日志
李照启 - 素眛蒙面的朋友|默认专辑
谢坤芳 - 012_广陵散|兰之猗猗_谢坤芳古琴音乐合集
翛乐队 - 奉先|奉先
诉歌 - 螢塚 (口琴)|口琴
渣梁 - 粉红色的回忆|蓟花姑娘的摇篮曲
昝弟 - 牵挂远方的你 (伴奏)|牵挂远方的你
金錿 - 鲜衣怒马|鲜衣怒马
恋雪静儿 - 起床歌|淮北市濉溪县临涣镇
赵偲旖 - 不爱|分辨率
殇殁 - 无心何从 (纯音乐)|殇殁的纯音乐
小王同学 - 失物招领|失 物 招 領 處
冯帅龙 - 万壑争流 (笛子版)|纯音乐
王维哲 - 诤友|诤友
动漫唯美风 - 耳朵怀孕单曲循环系列,绛烛红泪,念卿若狂 (节目)|动漫唯美风音乐
黄纪福 - 鄱湖水都昌美|鄱湖水都昌美
黄纪福 - 鄱湖水都昌美 (伴奏)|鄱湖水都昌美
俸炜糠 - 是你 (伴奏)|是你
俸炜糠 - 是你|是你
魏小涵 - 红粉骷髅|默认专辑
魏小涵 - 碣石千仞|默认专辑
赵焌壹 - 兵荒马乱的青春 (伴奏)|兵荒马乱的青春
赵焌壹 - 兵荒马乱的青春|兵荒马乱的青春
魏小涵 - 濯缨清潭|默认专辑
奉卮酒 - 忽如远行客|16-17现场
奉卮酒 - 成都|16-17现场
临喵 - 溽暑沾襟|岁寒竹枝词
嫌弃 - 沉疴|默认专辑
失落国度 - 勶|殇之花1
欧枔鑫 - 假如爱有天意|假如爱有天意
关钰堃 - 壑|默认专辑
张林波 - 我在衢州这些年|我在衢州这些年
慕寒 - 谪宦悲秋|默认专辑
嫏华 - 九万字|九万字
梅林音乐团 - 龙车凤撵 (伴奏)|京剧伴奏
百万锹 - 江湖人没有眼泪|江湖人没有眼泪
刘元元 - 崀山情歌|崀山情歌
弎石 - 压声锦集|送客
前度刘郎 - 第19集 我有痔疮|女总裁的极品护卫
柊 - 三字言|不走心翻唱
播音小乐子 - 第01集_楔子 如果|海豚之森夏不眠
陈婞 - 仿佛从前|仿佛从前
张嫮目 - 糗体|糗体
耶律雅歌 - 温州.我的故乡|温卅.我的故乡
耶律雅歌 - 温州.我的故乡 (伴奏)|温卅.我的故乡
李茳 - 我不能|李茳作品集
李茳 - 牵着你的手|李茳作品集
老盧烟枪 - 我在楼下买了支啤酒|干杯吧
十九&猫爷 - 乱世飘摇|染炱音乐社团填翻
李癸妹 - 何日君再来|何日君再来
叶小雨 - 致您所遵守的法度 (伴奏)|叶小雨
殺死妳的溫柔 - 大魔王来了|大魔王来了
清风无戒 - 第0022集 寒潭激氺鳄|不死玄尊
纯音乐 - 骷髅之舞|古典 美食
纯音乐 - 尕妺好比个白莲花 (花儿-永靖县)|轻曲妙韵之十五甘肃
李偲 - 小城记 (伴奏)|小城记
李偲 - 小城记|小城记
濮宇 - 岸别忆|岸别忆
油焖大侠 - 第456集 下雪了|时光和你都很美
纯音乐 - 揚鞭催馬軍糧忙|中国笛子名曲2
北岛三郎 - 丼池人生|歩
慕爻 - 醉翁亭记|醉翁亭记
郗芳 - 爱人你在哪里|爱人你在哪里
戏玹 - 我愿意平凡的陪在你身旁|萱老师想唱歌
苌雅静 - 音为爱|音为爱
高桥竹山 - 津軽謙良節|津軽三味線 決定版
齐红军 - 舂墙歌一 (民歌)|香格里拉之声2
纯音乐 - 森林之馈赠|瑜伽生活馆
高桥竹山 - 弥三郎節|津軽三味線 決定版
高桥竹山 - 津軽甚句|津軽三味線 決定版
群星 - 千手观音|兰毗尼之声-玄音
亖命 - 前度|命
刘烯樯 - 珍惜|珍惜
李友胜 - 反腐倡廉|默认专辑
吴淏 - 胡说八道 第二期|胡说八道
吴淏 - 胡说八道 第一期|胡说八道
贝瓦儿歌 - 望蓟门 (口白)|贝瓦儿歌 系列16
发条钥匙 - 橘子|孤筏重洋
江汜 - 遇见你的时候所有星星都落到我头上|遇见你的时候所有星星都落在我的头上
王珵可 - 秋日|小城往事
山野村夫權水 - 阳朔夜|阳朔夜
山野村夫權水 - 阳朔夜 (伴奏)|阳朔夜
张娇 - 酢浆草花|酢浆草花
張中立 - 海灘|白屋之戀
張中立 - 愛的禮讚|古典與追尋
馮先森 - 爱的双重魔力|爱的双重魔力
灼凉 - 你一生的贫瘠|你一生的贫瘠
晓晴 - 祭祀舞|青春有梦
孙海雯 - 崛起与撅弃|假面女孩
农棹菲 - 姐妹上山摘脐橙|脐橙三宝
丁小青 - 渺眇|渺渺
晓晴 - 黑黝黝的情哥哥|青春有梦
晓晴 - 舂粑粑|青春有梦
晓晴 - 千疮百孔|青春有梦
张然聍 - 为你写的歌 (伴奏)|为你写的歌
张然聍 - 为你写的歌|为你写的歌
韩晓辉 - 好爱你蕲春|好爱你蕲春
逸郁兰心 - 嗟叹红尘|嗟叹红尘
华语群星 - 宝坻欢迎你 (伴唱版伴奏)|宝坻欢迎你
盱眙中学 - 盱眙中学校歌|盱眙中学校歌
郭关 - 悲骷髅|玄门琴韵
上海城隍庙道乐团 - 道香一炷|迎仙客
狍子 - 蓝色的土耳其|盗心贼
狍子 - 在人间|盗心贼
狍子 - 阿哩阿哩阿哩|盗心贼
狍子 - 多幸运|盗心贼
狍子 - 超强社会摇|盗心贼
狍子 - 夜店强劲摇|盗心贼
狍子 - 童话镇|盗心贼
王爰儿 - 遇见爱情|遇见爱情
邓 - 缱绻|妗鸿一瞥
广东畅读 - 第026集 吮指|王爷绝宠废柴妃
舒思寒 - 童心飞扬---沭阳县第一实验小学校歌|舒思寒原创作品选
罗漢 - 飞鸟与海|默认专辑
周文强 - 第16集 - 商鞅变法的最核心作用是什么|周子大讲堂
懒羊羊吃包子 - 野火一季|夲
戎六 - 哺月谈|哺月谈
群星 - 即兴鼓独奏|绛州大鼓
顾顼 - 我和我的小伙伴们都惊呆了|假少爷
顾顼 - 我的公子呀|假少爷
汞灯 - 39|39
油焖大侠 - 第429集 给时瑶的智商跪了|时光和你都很美
油焖大侠 - 第428集 我只信你|时光和你都很美
广东畅读 - 第016集 宸宫婢女|琉璃美人命
珸琹组合 - 把悲伤折成纸飞机|把悲伤折成纸飞机
紊乱 - 我被骗啦|地下重庆-3
张驰 - 美若黎明|镌刻迷茫
琴&剣 - 穿越时空的思念|別鹤
李偲 - 原来如此|原来如此
李偲 - 失恋后的第一个星期|原来如此
李偲 - 风筝|原来如此
伊人家乡 - 紫鵑茶流韵|紫鵑茶流韵
伊人家乡 - 紫鵑茶流韵|紫鵑茶流韵
朱玙轩 - 鱼儿爱上猫咪|鱼儿爱上猫咪
玖乆 - 见信如晤|见信如晤
泺淅 - 冷却否听|冷却否听
舴肄 - 性空山|舴肄
户中之 - 哟咗|哟咗
木木乡 - 谈一场恋爱 (其他)|我 和 星 星 談 戀 愛
苌宇 - 惑|惑
孙阳 - 玄奘 (伴奏)|由他
阿春 - 爱你陈枔汐|爱你陈枔汐
马关辉 - 美丽的朵婇|梦回故乡
张过年 - 酩酊河|默认专辑
小玉老师 - 狼大叔的红焖鸡 (节目)|小玉老师讲故事
杨必闿 田箫铭 - 奶奶|默认专辑
万莉 - 浪来浪去九畹溪|默认专辑
胡勇军 - 修水姑娌梦事哇|修水姑娌梦事哇
东跑西颠 - 铐|默认专辑
珂柡 - 你是可爱的例外 伴奏|你是可爱的例外
华语群星 - 默默祝褔你|金色回响系列10专辑
凭栏听雨 - 孤鹜落霞|默认专辑
杨晢 - 午夜香吻|金色回响系列10专辑
杨晢 - 生命如花篮|金色回响系列10专辑
杨晢 - 日落北京城|金色回响系列10专辑
杨晢 - 幸褔在这里|金色回响系列10专辑
杨晢 - 小诗|金色回响系列10专辑
杨晢 - 美酒加咖啡|金色回响系列10专辑
杨晢 - 喝采|金色回响系列10专辑
杨晢 - 不如归去|金色回响系列10专辑
杨晢 - 人儿不能留|金色回响系列10专辑
杨晢 - 请你放开我|金色回响系列10专辑
杨晢 - 青春的激荡|金色回响系列10专辑
郇宜文 - 我在大同等你|我在大同等你
郇宜文 - 我在大同等你 (伴奏)|我在大同等你
一蓑烟雨听无尘 - 第 20 集 深谷疑云之隐秘的打赌|无尘之武林七宗罪
一蓑烟雨听无尘 - 第 52 集 几点补充说明|无尘之武林七宗罪
田艾駥 - 佤族月亮之恋|月亮古寨
田艾駥 - 心中的月亮|月亮古寨
唐建树 - 生活崎岖却美丽|爱里包含种种深意
唐建树 - 贫瘠的爱情 (伴奏)|灰色充满身心
百里屠伕 - 越来越像你|越来越像你
井宿 - 蓟门飞雨 (朗诵版)|八景八记
井宿 - 蓟门飞雨|八景八记
昝弟 - 苗家祝酒歌|留不住的爱
张翠萍 - 獐子吃草滚石崖|獐子吃草滚石崖
张翠萍 - 獐子吃草滚石崖 (伴奏)|獐子吃草滚石崖
韦正珣 - 关于你|韋先生的情书
珂柡 - 你对我的喜欢好似一股毒瘤 伴奏|你对我的喜欢好似一股毒瘤
杨千墀 - 小鸟在天空消失的日子伴奏|小鸟在天空消失的日子
小旭音乐 - 岌岌可危|默认专辑
司杓 - 涉川|涉川
小旭音乐 - 骷髅山|默认专辑
墨绛 - 带我走|带我走
袏佑 - 第2集 霹雳手段|三国之召唤猛将
袏佑 - 第3集 女将军救驾|三国之召唤猛将
刘元元 - 浪漫崀山|浪漫崀山
袏佑 - 第5集 太后赐婚|三国之召唤猛将
袏佑 - 第4集 皇帝去哪儿|三国之召唤猛将
敬善媛 - 绿蓑衣|十二金钗
段雅丹 - 梅山傩戏|我在新化等你来
王一堯 - 逃离星球|逃离星球
刘智航 - 团陂神韵 (范唱版伴奏)|团陂神韵
张曼霖 - 边陲镇康 (伴奏)|边陲镇康
一丝小乐 - 田大壮的馊主意|一年级的小豆豆
王爰儿 - 少啰嗦|少啰嗦
黄沾 - 楔子|倩女幽魂 电影原声带
横田真人 - 本陣|三國志曹操伝
横田真人 - 暗雲|三國志曹操伝
横田真人 - 互角|三國志曹操伝
陈宇蓝 - 不可受困 不可磨灭|無人應答
陈宇蓝 - 不可受困 不可磨灭 (伴奏)|無人應答
陈雅萍 - 鄱阳湖之恋 (伴奏)|鄱阳湖之恋
陈雅萍 - 鄱阳湖之恋|鄱阳湖之恋
焦文泽 - 老陕咥面|老陕咥面
焦文泽 - 老陕咥面 (伴奏)|老陕咥面
小布丁频道 - 58三衢道中|小学生必背古诗词75首
张嫮目 - 小把戏|小把戏
沝墨辞声 - 迟雨迎花惜|迟雨迎花惜
柳鲂 - 享瘦健康|享瘦健康
张三弥 - 野草还|還
盖碗茶乐队 - 你的美|李怡矾
盖碗茶乐队 - 街头时光|李怡矾
盖碗茶乐队 - 戒毒吧|李怡矾
盖碗茶乐队 - 你开心就好|李怡矾
李桭煜 - 生僻字|生僻字
祭祀 - 画中仙|画中仙
苑易舟 - 两点半|赂.
李庆丰 - 第008集 夤夜收五鬼|升仙传
尹歌 - 遵照你的嘱咐|群星合集 33
薛稷节 - 关键词|关键词
广东畅读 - 第017集 及笄大礼|凰权之天命帝妃
谢坤芳 - 008_风入松|兰之猗猗_谢坤芳古琴音乐合集
刘柄茏 - 本草纲目|本草纲目
李友廷 - 趕快去睡|李友廷
冯帅龙 - 芮城美呔呔|冯帅龙笛子曲集
冯帅龙 - 万壑争流|冯帅龙笛子曲集
魏遵广 - 齐志公益游|齐志公益游
王爰儿 - 不再爱你|不再爱你
崔来宾 - 讷谟尔河 (升调伴奏)|讷谟尔河
谭晶 - 祓禊谣|祓禊谣
李盱衡 - 祖国祖国我爱你 (伴奏)|祖国祖国我爱你
王玙璠 - 大大的梦想 (伴奏)|大大的梦想
韩晓辉 - 妈妈的手擀面|妈妈的手擀面
韩晓辉 - 妈妈的手擀面 (伴奏)|妈妈的手擀面
张淜南 - 爱上南京|爱上南京
不二 - 貳叁-不二|不二
王焱 - 船舶精英|船舶精英
玉树临风小博 - 第61集 鬼面蝗|中国铁匠在异界
叶知秋 - 关于衢州三分之二的事|一点路上的感悟
那我懂你意思了 - 该说再见了朋友们|騷動
李庆丰 - 第020集 计诓四诸侯|封神演义
星橒吖 - 雅俗共赏|雅俗共赏
知 心 網 友 小 吳 - 达尔文|达尔文
一路听天下 - 第003集 穆思修的别墅|前妻更风光
有一點點嘛 - 来不及|赠你月亮
李炤君 - 一时半刻|一时半刻
搽搽艾斯 - 想自由|想自由
是菻梓呀 - 无人之岛|愿你安好
霹雳英雄布袋戏 - 宦渎神|高福顺霹雳影集配乐大全 第七集
霹雳英雄布袋戏 - 镆斩锋|高福顺霹雳影集配乐大全 第七集
唱诗人 - 迷灯|泅渡
荿文文呐 - 只只|翻唱集
叫吠音乐联盟 - 新歌|叫吠 2
张浩 - 岫壑浮云-箫独奏|张浩演奏国乐集
王珵可 - 别慌女孩|别慌女孩
语凝噎 - 何必诗债换酒钱|何必诗债换酒钱
安済知佳 - 快楽原理|快楽原理
聂渱茗 - 青春颜色|青春颜色
人間椅子 - 人面瘡|人間椅子
群星 - 风暴来临在静劾的午夜|一个人的咖啡馆:孤单的狂欢
撅腚的鸭子 - 走狗|鐘意嘅歌
晏氘氚 - 种种|晏氘氚有点长
怒髪天 - 酒燃料爆進曲|酒燃料爆进曲
刘子森 - 等着你的鼾声|默认专辑
玹雨 - 再唱窗外|再唱窗外
齊雲 - 予诗|予诗
掷地有声 - 第28集 啧啧啧 总裁这是在间接表白?|总裁夫人萌萌哒
蓝金利 - 想起那件白大褂|想起那件白大褂
蓝金利 - 想起那件白大褂 (伴奏)|想起那件白大褂
油尖旺金毛思 - 你瞒我瞒|瞞夠未
老情歌 - 别渴望|零貳壹零
超级邱哇噻 - 不值得|邱哇噻的翻唱集
超级邱哇噻 - 爱要坦荡荡|邱哇噻的翻唱集
